,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,lasa,46.6166,10.7002,40.37,82.0,81.0,3.87,IT,1650866177.0
320,calhoun,42.2506,-85.0005,63.43,69.0,100.0,9.22,US,1650866177.0
321,hovd,48.0056,91.6419,35.53,24.0,69.0,7.43,MN,1650866178.0
322,maceio,-9.6658,-35.7353,72.84,94.0,40.0,3.44,BR,1650866178.0
323,mangan,27.5167,88.5333,81.39,57.0,5.0,7.34,IN,1650866178.0
324,rayong,12.8333,101.4333,93.79,71.0,84.0,9.26,TH,1650866178.0
325,villa del rosario,7.8339,-72.4742,73.78,94.0,75.0,0.0,CO,1650866179.0
327,padang,-0.9492,100.3543,84.25,79.0,100.0,5.39,ID,1650866179.0
328,acapulco,16.8634,-99.8901,78.98,75.0,23.0,6.89,MX,1650866003.0
330,san quintin,30.4833,-115.95,62.04,66.0,0.0,0.67,MX,1650866180.0
331,saint george,37.1041,-113.5841,59.25,22.0,10.0,3.0,US,1650866180.0
332,bandar-e lengeh,26.5579,54.8807,86.11,66.0,14.0,6.91,IR,1650866180.0
333,reriutaba,-4.1417,-40.5822,70.86,95.0,98.0,0.94,BR,1650866181.0
334,taltal,-25.4,-70.4833,61.99,82.0,0.0,2.93,CL,1650866181.0
335,cajititlan,20.4333,-103.3167,63.75,40.0,1.0,5.1,MX,1650866181.0
336,nouakchott,18.0858,-15.9785,69.73,56.0,1.0,11.25,MR,1650866181.0
337,balykshi,47.0667,51.8667,64.4,55.0,0.0,11.18,KZ,1650866182.0
338,manokwari,-0.8667,134.0833,84.18,67.0,15.0,4.85,ID,1650865910.0
339,leh,34.1667,77.5833,46.58,30.0,48.0,2.37,IN,1650866182.0
340,krasnyy chikoy,50.3643,108.7512,33.98,76.0,100.0,10.4,RU,1650866182.0
341,codrington,-38.2667,141.9667,62.65,65.0,98.0,11.36,AU,1650866183.0
342,glace bay,46.1969,-59.957,36.27,97.0,100.0,11.5,CA,1650866032.0
344,hambantota,6.1241,81.1185,86.29,68.0,81.0,5.73,LK,1650866183.0
345,sumbe,-11.2061,13.8437,77.29,83.0,98.0,3.6,AO,1650866184.0
346,thoen,17.6129,99.2161,105.58,25.0,5.0,3.94,TH,1650866184.0
347,brunico,46.7958,11.9364,45.95,88.0,99.0,0.89,IT,1650866184.0
348,eureka,40.8021,-124.1637,48.92,83.0,72.0,3.74,US,1650866008.0
349,aleksandrov gay,50.147,48.5704,59.81,60.0,100.0,9.26,RU,1650866185.0
351,kaitangata,-46.2817,169.8464,52.72,74.0,85.0,14.9,NZ,1650865895.0
